date,open,close,high,low,volume,code
2016-04-21,5.333,5.372,5.472,5.323,196283.0,600300
2016-04-22,5.353,5.313,5.402,5.263,128212.0,600300
2016-04-25,5.343,5.392,5.402,5.234,92539.0,600300
2016-04-26,5.382,5.571,5.67,5.333,220043.0,600300
2016-04-27,5.581,5.422,5.61,5.412,196107.0,600300
2016-04-28,5.452,5.273,5.462,5.234,231648.0,600300
2016-04-29,5.164,5.64,5.65,5.154,461776.0,600300
2016-05-03,5.571,5.799,5.937,5.531,458435.0,600300
2016-05-04,5.759,5.739,5.819,5.67,243939.0,600300
2016-05-05,5.7,5.749,5.769,5.64,150286.0,600300
2016-05-06,5.749,5.452,5.789,5.422,245057.0,600300
2016-05-09,5.353,5.353,5.531,5.273,195379.0,600300
2016-05-10,5.343,5.422,5.551,5.254,148969.0,600300
2016-05-11,5.432,5.66,5.918,5.432,517801.0,600300
2016-05-12,5.531,5.372,5.531,5.303,324368.0,600300
2016-05-13,5.392,5.174,5.521,5.125,340040.0,600300
2016-05-16,5.234,5.69,5.69,5.204,359720.0,600300
2016-05-17,5.937,5.749,5.987,5.729,700786.0,600300
2016-05-18,5.719,5.67,5.829,5.58,306292.0,600300
2016-05-19,5.749,5.759,5.889,5.699,283295.0,600300
2016-05-20,5.63,5.829,5.839,5.57,230573.0,600300
2016-05-23,5.819,5.859,5.899,5.759,221639.0,600300
2016-05-24,5.849,5.719,5.859,5.68,154099.0,600300
2016-05-25,5.769,5.829,5.849,5.64,177627.0,600300
2016-05-26,5.779,5.919,5.959,5.66,257446.0,600300
2016-05-27,5.869,6.008,6.238,5.839,403583.0,600300
2016-05-30,5.978,5.959,6.068,5.899,177973.0,600300
2016-05-31,5.899,6.168,6.218,5.899,272282.0,600300
2016-06-01,6.148,6.118,6.307,6.108,246428.0,600300
2016-06-02,6.118,6.138,6.218,6.028,191387.0,600300
2016-06-03,6.058,6.148,6.257,6.038,281557.0,600300
2016-06-06,6.098,6.098,6.138,6.008,172087.0,600300
2016-06-07,6.098,6.098,6.168,6.058,139099.0,600300
2016-06-08,6.098,5.978,6.148,5.949,177606.0,600300
2016-06-13,5.959,5.709,5.959,5.699,171912.0,600300
2016-06-14,5.719,5.769,5.809,5.699,86800.0,600300
2016-06-15,5.719,5.899,5.939,5.68,155360.0,600300
2016-06-16,5.869,5.889,5.959,5.779,170045.0,600300
2016-06-17,5.869,5.849,5.949,5.819,115260.0,600300
2016-06-20,5.839,5.779,5.849,5.719,88414.0,600300
2016-06-21,5.779,5.749,5.869,5.739,97170.0,600300
2016-06-22,5.729,5.968,5.978,5.719,176078.0,600300
2016-06-23,5.919,5.919,6.088,5.869,136413.0,600300
2016-06-24,5.919,5.889,5.998,5.65,131150.0,600300
2016-06-27,5.869,5.978,5.978,5.799,93444.0,600300
2016-06-28,5.939,5.929,5.978,5.859,130048.0,600300
2016-06-29,5.939,5.959,6.038,5.859,149988.0,600300
2016-06-30,5.959,5.919,6.058,5.909,131424.0,600300
2016-07-01,5.919,5.869,5.968,5.859,96356.0,600300
2016-07-04,5.829,5.909,5.929,5.799,113853.0,600300
2016-07-05,5.909,5.968,5.998,5.879,130155.0,600300
2016-07-06,5.968,6.148,6.178,5.869,362705.0,600300
2016-07-07,6.078,6.168,6.228,5.998,311419.0,600300
2016-07-08,6.118,6.058,6.158,6.058,128817.0,600300
2016-07-11,6.058,6.178,6.327,6.018,318200.0,600300
2016-07-12,6.158,6.257,6.367,6.138,309364.0,600300
2016-07-13,6.267,6.228,6.307,6.168,169300.0,600300
2016-07-14,6.198,6.218,6.287,6.188,100896.0,600300
2016-07-15,6.198,6.128,6.218,6.128,123188.0,600300
2016-07-18,6.128,6.038,6.158,6.008,129447.0,600300
2016-07-19,6.058,6.068,6.078,5.939,119857.0,600300
2016-07-20,6.058,6.028,6.078,6.008,65209.0,600300
2016-07-21,6.058,6.028,6.088,6.018,86274.0,600300
2016-07-22,6.028,5.988,6.058,5.978,77405.0,600300
2016-07-25,5.949,5.998,6.018,5.909,57517.0,600300
2016-07-26,6.008,6.038,6.048,5.968,116117.0,600300
