date,open,close,high,low,volume
2017-11-10 14:00,4.91,4.88,4.91,4.87,21454.0
2017-11-10 15:00,4.88,4.88,4.89,4.86,25711.0
2017-11-13 10:30,4.9,4.82,4.9,4.8,39777.0
2017-11-13 11:30,4.82,4.79,4.83,4.78,34214.0
2017-11-13 14:00,4.79,4.75,4.8,4.74,49703.0
2017-11-13 15:00,4.76,4.75,4.8,4.75,35225.0
2017-11-14 10:30,4.75,4.75,4.76,4.72,30819.0
2017-11-14 11:30,4.75,4.77,4.8,4.75,21089.0
2017-11-14 14:00,4.77,4.77,4.78,4.76,10956.0
2017-11-14 15:00,4.77,4.83,4.84,4.75,43370.0
2017-11-15 10:30,4.89,4.96,5.05,4.85,207774.0
2017-11-15 11:30,4.96,4.95,4.98,4.95,34021.0
2017-11-15 14:00,4.95,4.97,4.97,4.92,29617.0
2017-11-15 15:00,4.97,4.95,4.98,4.95,48453.0
2017-11-16 10:30,4.89,4.85,4.89,4.78,79840.0
2017-11-16 11:30,4.85,4.85,4.88,4.82,22944.0
2017-11-16 14:00,4.86,4.89,4.91,4.85,19343.0
2017-11-16 15:00,4.89,4.85,4.9,4.83,38374.0
2017-11-17 10:30,4.86,4.75,4.87,4.71,78065.0
2017-11-17 11:30,4.75,4.76,4.79,4.73,16558.0
2017-11-17 14:00,4.76,4.75,4.78,4.72,18457.0
2017-11-17 15:00,4.75,4.65,4.76,4.64,75923.0
2017-11-20 10:30,4.62,4.53,4.62,4.45,55236.0
2017-11-20 11:30,4.53,4.55,4.58,4.5,14836.0
2017-11-20 14:00,4.55,4.59,4.6,4.54,15278.0
2017-11-20 15:00,4.58,4.6,4.61,4.57,26108.0
2017-11-21 10:30,4.6,4.61,4.64,4.56,23384.0
2017-11-21 11:30,4.61,4.57,4.61,4.55,21838.0
2017-11-21 14:00,4.57,4.57,4.59,4.56,18382.0
2017-11-21 15:00,4.57,4.57,4.57,4.54,26999.0
2017-11-22 10:30,4.56,4.53,4.58,4.5,47099.0
2017-11-22 11:30,4.53,4.54,4.56,4.53,13119.0
2017-11-22 14:00,4.54,4.5,4.54,4.49,32159.0
2017-11-22 15:00,4.5,4.52,4.53,4.48,28354.0
2017-11-23 10:30,4.52,4.48,4.52,4.45,33388.0
2017-11-23 11:30,4.48,4.45,4.49,4.45,19837.0
2017-11-23 14:00,4.45,4.45,4.46,4.42,29265.0
2017-11-23 15:00,4.45,4.43,4.46,4.41,26912.0
2017-11-24 10:30,4.42,4.41,4.45,4.4,20638.0
2017-11-24 11:30,4.41,4.4,4.43,4.4,14772.0
2017-11-24 14:00,4.4,4.45,4.47,4.4,17656.0
2017-11-24 15:00,4.45,4.52,4.52,4.45,41191.0
2017-11-27 10:30,4.54,4.54,4.59,4.52,38688.0
2017-11-27 11:30,4.53,4.53,4.54,4.52,8213.0
2017-11-27 14:00,4.53,4.53,4.55,4.52,6725.0
2017-11-27 15:00,4.53,4.52,4.54,4.49,23331.0
2017-11-28 10:30,4.5,4.5,4.54,4.48,14613.0
2017-11-28 11:30,4.5,4.5,4.52,4.49,5788.0
2017-11-28 14:00,4.5,4.55,4.55,4.5,15577.0
2017-11-28 15:00,4.55,4.54,4.55,4.51,15183.0
2017-11-29 10:30,4.53,4.49,4.54,4.46,23133.0
2017-11-29 11:30,4.48,4.47,4.49,4.46,13447.0
2017-11-29 14:00,4.47,4.49,4.49,4.45,12399.0
2017-11-29 15:00,4.49,4.53,4.54,4.48,20845.0
